Unnamed: 0,pair,1mo strength,1wk strength,1d strength,60m strength,30m strength,15m strength,5m strength
0,audcad,-17.32,-16.26,-20.08,7.75,-11.84,19.14,14.87
1,audchf,0.04,-0.12,-16.45,-7.44,-11.24,-8.78,-9.63
2,euraud,3.39,4.65,16.17,-7.1,24.7,-7.79,-4.11
3,gbpaud,13.04,12.13,20.83,-27.72,19.67,-17.93,-3.78
4,audjpy,16.05,17.83,3.46,9.5,-19.66,2.06,-8.79
5,audnzd,-6.03,-5.18,-14.89,26.37,-14.66,18.94,1.45
6,audusd,7.23,5.5,-8.38,17.49,-11.09,9.19,-4.34
7,cadchf,17.36,16.14,3.63,-15.19,0.6,-27.92,-24.5
8,eurcad,-13.93,-11.61,-3.91,0.65,12.86,11.35,10.76
9,gbpcad,-4.28,-4.13,0.75,-19.97,7.83,1.21,11.09
10,cadjpy,33.37,34.09,23.54,1.75,-7.82,-17.08,-23.66
11,nzdcad,-11.29,-11.08,-5.19,-18.62,2.82,0.2,13.42
12,usdcad,-24.55,-21.76,-11.7,-9.74,-0.75,9.95,19.21
13,eurchf,3.43,4.53,-0.28,-14.54,13.46,-16.57,-13.74
14,gbpchf,13.08,12.01,4.38,-35.16,8.43,-26.71,-13.41
15,chfjpy,16.01,17.95,19.91,16.94,-8.42,10.84,0.84
16,nzdchf,6.07,5.06,-1.56,-33.81,3.42,-27.72,-11.08
17,usdchf,-7.19,-5.62,-8.07,-24.93,-0.15,-17.97,-5.29
18,eurgbp,-9.65,-7.48,-4.66,20.62,5.03,10.14,-0.33
19,eurjpy,19.44,22.48,19.63,2.4,5.04,-5.73,-12.9
20,eurnzd,-2.64,-0.53,1.28,19.27,10.04,11.15,-2.66
21,eurusd,10.62,10.15,7.79,10.39,13.61,1.4,-8.45
22,gbpjpy,29.09,29.96,24.29,-18.22,0.01,-15.87,-12.57
23,gbpnzd,7.01,6.95,5.94,-1.35,5.01,1.01,-2.33
24,gbpusd,20.27,17.63,12.45,-10.23,8.58,-8.74,-8.12
25,nzdjpy,22.08,23.01,18.35,-16.87,-5.0,-16.88,-10.24
26,usdjpy,8.82,12.33,11.84,-7.99,-8.57,-7.13,-4.45
27,nzdusd,13.26,10.68,6.51,-8.88,3.57,-9.75,-5.79
